opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,priority,evidence,recommended_action,status
OPP-000014,41,Gola Retail,7,13,General Trade,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 34 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b912,443""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000015,42,Natarajan Supermarket,12,59,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 90.7% vs previous 30d"", ""Revenue gap of \u20b910,051"", ""Order frequency declined 75.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000016,44,Kothari Supermarket,10,43,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,349"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000017,44,Kothari Supermarket,10,43,General Trade,C,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 38 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b95,349""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000018,46,Dutta Retail,8,76,General Trade,A,REVENUE_RECOVERY,88,HIGH,"[""Revenue declined 44.4% vs previous 30d"", ""Revenue gap of \u20b910,143"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000019,48,Raja Supermarket,7,79,Supermarket,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 67.2% vs previous 30d"", ""Revenue gap of \u20b93,441"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000020,49,Barad General Store,4,62,Pharmacy,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9935"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000021,49,Barad General Store,4,62,Pharmacy,B,INACTIVE_OUTLET,50,LOW,"[""No order for 35 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000022,51,Kapadia Traders,1,49,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b913,459"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000023,51,Kapadia Traders,1,49,Convenience,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 33 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b913,459""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000024,55,Mody Supermarket,5,17,Convenience,A,REVENUE_RECOVERY,88,HIGH,"[""Revenue declined 44.1% vs previous 30d"", ""Revenue gap of \u20b920,413"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000025,61,Narasimhan Mart,4,4,Pharmacy,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 73.0% vs previous 30d"", ""Revenue gap of \u20b92,728"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000026,62,Mallick Supermarket,2,40,Convenience,C,REVENUE_RECOVERY,53,LOW,"[""Revenue declined 35.2% vs previous 30d"", ""Revenue gap of \u20b91,962"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000027,63,Boase General Store,8,97,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 72.5% vs previous 30d"", ""Revenue gap of \u20b921,584"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000028,67,Ratta Mart,4,1,Modern Trade,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b94,336"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000029,67,Ratta Mart,4,1,Modern Trade,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b94,336""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000030,70,Bala Retail,4,22,General Trade,B,REVENUE_RECOVERY,95,HIGH,"[""Revenue declined 67.5% vs previous 30d"", ""Revenue gap of \u20b95,972"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000031,74,Lanka Traders,6,10,Pharmacy,C,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 40.1% vs previous 30d"", ""Revenue gap of \u20b92,346"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000032,75,Barad Supermarket,3,88,Supermarket,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,841"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000033,75,Barad Supermarket,3,88,Supermarket,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 58 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b91,841""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000034,76,Chopra Retail,7,57,Supermarket,B,REVENUE_RECOVERY,95,HIGH,"[""Revenue declined 52.0% vs previous 30d"", ""Revenue gap of \u20b96,686"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000035,80,Sarin Retail,4,58,General Trade,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,030"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000036,80,Sarin Retail,4,58,General Trade,C,INACTIVE_OUTLET,60,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,030""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000037,86,Basu Traders,5,17,Convenience,A,REVENUE_RECOVERY,88,HIGH,"[""Revenue declined 40.5% vs previous 30d"", ""Revenue gap of \u20b916,430"", ""Order frequency declined 25.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000038,95,Narayanan Mart,12,19,Pharmacy,A,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 29.1% vs previous 30d"", ""Revenue gap of \u20b911,552"", ""Order frequency declined 28.6%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000039,96,Murthy Mart,8,7,Pharmacy,B,REVENUE_RECOVERY,67,MEDIUM,"[""Revenue declined 24.7% vs previous 30d"", ""Revenue gap of \u20b92,458"", ""Order frequency declined 60.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000040,99,Tripathi Supermarket,10,33,Convenience,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,622"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000041,99,Tripathi Supermarket,10,33,Convenience,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 48 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,622""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000042,100,More Mart,5,31,Pharmacy,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 54.1% vs previous 30d"", ""Revenue gap of \u20b917,715"", ""Order frequency declined 62.5%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000043,102,Narain Mart,8,55,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9749"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000044,102,Narain Mart,8,55,Convenience,C,INACTIVE_OUTLET,50,LOW,"[""No order for 42 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000045,103,Rau Supermarket,7,68,Convenience,A,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 18.1% vs previous 30d"", ""Revenue gap of \u20b97,118"", ""Order frequency declined"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000046,104,Merchant General Store,1,3,Pharmacy,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 65.4% vs previous 30d"", ""Revenue gap of \u20b93,280"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000047,110,Mitra Traders,1,52,Supermarket,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b96,694"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000048,110,Mitra Traders,1,52,Supermarket,C,INACTIVE_OUTLET,85,HIGH,"[""No order for 50 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b96,694""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000049,115,Kade Mart,4,96,Convenience,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 72.4% vs previous 30d"", ""Revenue gap of \u20b92,660"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000050,117,Nagy Retail,3,20,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b99,158"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000051,117,Nagy Retail,3,20,Pharmacy,C,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 42 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b99,158""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000052,118,Shroff Retail,5,47,Modern Trade,B,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 57.3% vs previous 30d"", ""Revenue gap of \u20b95,572"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000053,119,Sathe Supermarket,12,64,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b97,301"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000054,119,Sathe Supermarket,12,64,General Trade,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 36 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b97,301""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000055,120,Sathe Traders,7,28,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 58.9% vs previous 30d"", ""Revenue gap of \u20b95,047"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000056,122,Vaidya Mart,4,39,Supermarket,C,REVENUE_RECOVERY,50,LOW,"[""Revenue declined 29.0% vs previous 30d"", ""Revenue gap of \u20b9770"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000057,125,Chad Supermarket,7,68,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,970"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000058,125,Chad Supermarket,7,68,General Trade,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 50 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b91,970""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000059,127,Varma Mart,8,76,Pharmacy,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,843"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000060,127,Varma Mart,8,76,Pharmacy,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 48 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,843""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000061,131,Mukherjee General Store,7,44,General Trade,A,REVENUE_RECOVERY,83,HIGH,"[""Revenue declined 36.1% vs previous 30d"", ""Revenue gap of \u20b912,612"", ""Order frequency declined"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000062,133,Issac Retail,8,70,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,627"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000063,133,Issac Retail,8,70,Pharmacy,C,INACTIVE_OUTLET,85,HIGH,"[""No order for 46 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b95,627""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000064,137,Konda Traders,7,13,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 77.5% vs previous 30d"", ""Revenue gap of \u20b96,987"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000065,140,Shah Traders,12,46,Convenience,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 85.5% vs previous 30d"", ""Revenue gap of \u20b918,612"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000066,143,Rajagopalan Traders,2,37,Convenience,B,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,482"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000067,143,Rajagopalan Traders,2,37,Convenience,B,INACTIVE_OUTLET,75,HIGH,"[""No order for 56 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b93,482""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000068,145,Ratta Supermarket,5,47,Pharmacy,A,REVENUE_RECOVERY,85,HIGH,"[""Revenue declined 26.7% vs previous 30d"", ""Revenue gap of \u20b95,065"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000069,147,Divan Traders,5,42,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b919,115"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000070,147,Divan Traders,5,42,Convenience,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 40 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b919,115""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000071,150,Sandal Retail,4,81,Convenience,C,REVENUE_RECOVERY,77,HIGH,"[""Revenue declined 67.8% vs previous 30d"", ""Revenue gap of \u20b94,445"", ""Order frequency declined 33.3%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000072,151,Kanda Supermarket,4,62,Pharmacy,B,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 53.2% vs previous 30d"", ""Revenue gap of \u20b94,832"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000073,152,Goda Traders,6,74,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 76.3% vs previous 30d"", ""Revenue gap of \u20b927,422"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000074,158,Shan Retail,1,99,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 95.1% vs previous 30d"", ""Revenue gap of \u20b99,025"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000075,159,Deol Supermarket,4,96,Supermarket,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9904"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000076,159,Deol Supermarket,4,96,Supermarket,B,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 53 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000077,161,Wali Traders,5,82,Supermarket,A,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 20.7% vs previous 30d"", ""Revenue gap of \u20b95,676"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000078,164,Thaman General Store,7,84,Modern Trade,B,REVENUE_RECOVERY,85,HIGH,"[""Revenue declined 67.2% vs previous 30d"", ""Revenue gap of \u20b911,086"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000079,165,Sandhu Retail,5,51,General Trade,A,REVENUE_RECOVERY,75,HIGH,"[""Revenue declined 23.0% vs previous 30d"", ""Revenue gap of \u20b97,409"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000080,171,Kota Supermarket,10,43,General Trade,C,REVENUE_RECOVERY,77,HIGH,"[""Revenue declined 58.1% vs previous 30d"", ""Revenue gap of \u20b92,742"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000081,172,Malhotra Mart,4,8,Pharmacy,B,REVENUE_RECOVERY,67,MEDIUM,"[""Revenue declined 25.0% vs previous 30d"", ""Revenue gap of \u20b93,552"", ""Order frequency declined 50.0%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000082,177,Sarraf Mart,6,65,Modern Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9544"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000083,177,Sarraf Mart,6,65,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 45 days"", ""Zero revenue in current 30d""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000084,188,Kashyap Mart,4,32,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,253"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000085,188,Kashyap Mart,4,32,Convenience,B,INACTIVE_OUTLET,70,MEDIUM,"[""No order for 34 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b95,253""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
