opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,severity,evidence,recommended_action,status
OPP-000011,34,Ray Supermarket,9,93,Supermarket,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 91.9% vs previous 30d"", ""Revenue gap of \u20b94,317 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000012,36,Khalsa Supermarket,6,14,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 74.2% vs previous 30d"", ""Revenue gap of \u20b929,595 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000013,37,Gaba Retail,2,9,Pharmacy,C,REVENUE_RECOVERY,40,MEDIUM,"[""Revenue declined 8.0% vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000014,41,Gola Retail,7,13,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b912,443 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000015,41,Gola Retail,7,13,General Trade,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 34 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b912,443""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000016,42,Natarajan Supermarket,12,59,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 90.7% vs previous 30d"", ""Revenue gap of \u20b910,051 vs previous 30d"", ""Order frequency declined 75.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000017,44,Kothari Supermarket,10,43,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,349 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000018,44,Kothari Supermarket,10,43,General Trade,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 38 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b95,349""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000019,46,Dutta Retail,8,76,General Trade,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 44.4% vs previous 30d"", ""Revenue gap of \u20b910,143 vs previous 30d"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000020,48,Raja Supermarket,7,79,Supermarket,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 67.2% vs previous 30d"", ""Revenue gap of \u20b93,441 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000021,49,Barad General Store,4,62,Pharmacy,B,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9935 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000022,49,Barad General Store,4,62,Pharmacy,B,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 35 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000023,51,Kapadia Traders,1,49,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b913,459 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000024,51,Kapadia Traders,1,49,Convenience,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 33 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b913,459""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000025,55,Mody Supermarket,5,17,Convenience,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 44.1% vs previous 30d"", ""Revenue gap of \u20b920,413 vs previous 30d"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000026,61,Narasimhan Mart,4,4,Pharmacy,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 73.0% vs previous 30d"", ""Revenue gap of \u20b92,728 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000027,62,Mallick Supermarket,2,40,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 35.2% vs previous 30d"", ""Revenue gap of \u20b91,962 vs previous 30d"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000028,63,Boase General Store,8,97,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 72.5% vs previous 30d"", ""Revenue gap of \u20b921,584 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000029,67,Ratta Mart,4,1,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b94,336 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000030,67,Ratta Mart,4,1,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 42 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000031,70,Bala Retail,4,22,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 67.5% vs previous 30d"", ""Revenue gap of \u20b95,972 vs previous 30d"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000032,74,Lanka Traders,6,10,Pharmacy,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 40.1% vs previous 30d"", ""Revenue gap of \u20b92,346 vs previous 30d"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000033,75,Barad Supermarket,3,88,Supermarket,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,841 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000034,75,Barad Supermarket,3,88,Supermarket,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 58 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000035,76,Chopra Retail,7,57,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 52.0% vs previous 30d"", ""Revenue gap of \u20b96,686 vs previous 30d"", ""Order frequency declined 33.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000036,80,Sarin Retail,4,58,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,030 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000037,80,Sarin Retail,4,58,General Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 42 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000038,86,Basu Traders,5,17,Convenience,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 40.5% vs previous 30d"", ""Revenue gap of \u20b916,430 vs previous 30d"", ""Order frequency declined 25.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000039,95,Narayanan Mart,12,19,Pharmacy,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 29.1% vs previous 30d"", ""Revenue gap of \u20b911,552 vs previous 30d"", ""Order frequency declined 28.6%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000040,96,Murthy Mart,8,7,Pharmacy,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 24.7% vs previous 30d"", ""Revenue gap of \u20b92,458 vs previous 30d"", ""Order frequency declined 60.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000041,99,Tripathi Supermarket,10,33,Convenience,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,622 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000042,99,Tripathi Supermarket,10,33,Convenience,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 48 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000043,100,More Mart,5,31,Pharmacy,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 54.1% vs previous 30d"", ""Revenue gap of \u20b917,715 vs previous 30d"", ""Order frequency declined 62.5%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000044,102,Narain Mart,8,55,Convenience,C,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9749 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000045,102,Narain Mart,8,55,Convenience,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 42 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000046,103,Rau Supermarket,7,68,Convenience,A,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 18.1% vs previous 30d"", ""Revenue gap of \u20b97,118 vs previous 30d"", ""Order frequency declined""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000047,104,Merchant General Store,1,3,Pharmacy,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 65.4% vs previous 30d"", ""Revenue gap of \u20b93,280 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000048,110,Mitra Traders,1,52,Supermarket,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b96,694 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000049,110,Mitra Traders,1,52,Supermarket,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 50 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b96,694""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000050,114,Mangat General Store,7,79,General Trade,B,REVENUE_RECOVERY,65,MEDIUM,"[""Revenue declined 11.7% vs previous 30d"", ""Revenue gap of \u20b91,326 vs previous 30d"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000051,115,Kade Mart,4,96,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 72.4% vs previous 30d"", ""Revenue gap of \u20b92,660 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000052,117,Nagy Retail,3,20,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b99,158 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000053,117,Nagy Retail,3,20,Pharmacy,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 42 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b99,158""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000054,118,Shroff Retail,5,47,Modern Trade,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 57.3% vs previous 30d"", ""Revenue gap of \u20b95,572 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000055,119,Sathe Supermarket,12,64,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b97,301 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000056,119,Sathe Supermarket,12,64,General Trade,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 36 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b97,301""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000057,120,Sathe Traders,7,28,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 58.9% vs previous 30d"", ""Revenue gap of \u20b95,047 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000058,122,Vaidya Mart,4,39,Supermarket,C,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 29.0% vs previous 30d"", ""Revenue gap of \u20b9770 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000059,125,Chad Supermarket,7,68,General Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b91,970 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000060,125,Chad Supermarket,7,68,General Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 50 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000061,127,Varma Mart,8,76,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,843 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000062,127,Varma Mart,8,76,Pharmacy,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 48 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000063,131,Mukherjee General Store,7,44,General Trade,A,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 36.1% vs previous 30d"", ""Revenue gap of \u20b912,612 vs previous 30d"", ""Order frequency declined"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000064,133,Issac Retail,8,70,Pharmacy,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b95,627 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000065,133,Issac Retail,8,70,Pharmacy,C,INACTIVE_OUTLET,80,HIGH,"[""No order for 46 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b95,627""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000066,135,Bakshi Retail,7,44,Supermarket,A,REVENUE_RECOVERY,45,MEDIUM,"[""Revenue declined 9.1% vs previous 30d"", ""Revenue gap of \u20b92,523 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000067,137,Konda Traders,7,13,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 77.5% vs previous 30d"", ""Revenue gap of \u20b96,987 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000068,140,Shah Traders,12,46,Convenience,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 85.5% vs previous 30d"", ""Revenue gap of \u20b918,612 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000069,143,Rajagopalan Traders,2,37,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b93,482 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000070,143,Rajagopalan Traders,2,37,Convenience,B,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 56 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000071,145,Ratta Supermarket,5,47,Pharmacy,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 26.7% vs previous 30d"", ""Revenue gap of \u20b95,065 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000072,147,Divan Traders,5,42,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b919,115 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000073,147,Divan Traders,5,42,Convenience,B,INACTIVE_OUTLET,80,HIGH,"[""No order for 40 days"", ""Zero revenue in the current 30-day period"", ""Previous 30d revenue was \u20b919,115""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000074,150,Sandal Retail,4,81,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 67.8% vs previous 30d"", ""Revenue gap of \u20b94,445 vs previous 30d"", ""Order frequency declined 33.3%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000075,151,Kanda Supermarket,4,62,Pharmacy,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 53.2% vs previous 30d"", ""Revenue gap of \u20b94,832 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000076,152,Goda Traders,6,74,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 76.3% vs previous 30d"", ""Revenue gap of \u20b927,422 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000077,158,Shan Retail,1,99,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 95.1% vs previous 30d"", ""Revenue gap of \u20b99,025 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000078,159,Deol Supermarket,4,96,Supermarket,B,REVENUE_RECOVERY,90,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b9904 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000079,159,Deol Supermarket,4,96,Supermarket,B,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 53 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000080,161,Wali Traders,5,82,Supermarket,A,REVENUE_RECOVERY,60,MEDIUM,"[""Revenue declined 20.7% vs previous 30d"", ""Revenue gap of \u20b95,676 vs previous 30d""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000081,164,Thaman General Store,7,84,Modern Trade,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 67.2% vs previous 30d"", ""Revenue gap of \u20b911,086 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000082,165,Sandhu Retail,5,51,General Trade,A,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 23.0% vs previous 30d"", ""Revenue gap of \u20b97,409 vs previous 30d"", ""Order frequency declined 50.0%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000083,171,Kota Supermarket,10,43,General Trade,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 58.1% vs previous 30d"", ""Revenue gap of \u20b92,742 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
