selection_rank,opportunity_id,outlet_id,opportunity_type,priority_score,priority_band,action_urgency,queue_reason,evidence,recommended_action,global_rank,type_rank,score,priority,revenue_30d,revenue_previous_30d,revenue_per_visit_30d,target_achievement_pct,revenue_index_vs_peer,visits_30d,productive_visits_30d,ev_target_category,ev_territory_category_rank,ev_territory_category_orders_90d,ev_current_category_count_90d,ev_revenue_previous_30d,ev_revenue_30d,ev_revenue_growth_30d,ev_revenue_gap_vs_previous_30d,ev_orders_previous_30d,ev_orders_30d,ev_revenue_index_vs_peer,ev_days_since_last_order,ev_stockout_events_90d,ev_stockout_rate_90d,ev_avg_closing_stock_90d
11,OPP-000341,547,Revenue Recovery,93.47,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""revenue_previous_30d"": 41641.45, ""revenue_30d"": 2258.6, ""revenue_growth_30d"": -0.9458, ""revenue_gap_vs_previous_30d"": 39382.85, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.118}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",24,6,91.94,HIGH,2258.6,41641.45,0.0,3.767946165715226,0.1177684889253768,0.0,0.0,,,,,41641.45,2258.6,-0.9458,39382.85,6.0,1.0,0.118,,,,
12,OPP-000004,6,Revenue Recovery,93.41,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""revenue_previous_30d"": 40232.18, ""revenue_30d"": 2260.19, ""revenue_growth_30d"": -0.9438, ""revenue_gap_vs_previous_30d"": 37971.99, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.112}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",25,7,91.89,HIGH,2260.19,40232.18,753.3966666666666,13.825366360407427,0.1117333376836462,3.0,2.0,,,,,40232.18,2260.19,-0.9438,37971.99,6.0,1.0,0.112,,,,
13,OPP-001421,2129,Stock Risk,92.22,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""stockout_events_90d"": 46, ""stockout_rate_90d"": 0.2359, ""avg_closing_stock_90d"": 0.933}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,26,1,76.67,MEDIUM,12919.27,16904.57,3229.8175,18.19212960061936,0.6015486095735911,4.0,4.0,,,,,,,,,,,,,46.0,0.2359,0.933
14,OPP-000347,553,Inactive Outlet,91.92,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""revenue_previous_30d"": 27905.91, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 52}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",27,1,84.0,HIGH,0.0,27905.91,0.0,0.0,0.0,3.0,1.0,,,,,27905.91,0.0,,,4.0,0.0,,52.0,,,
15,OPP-000417,656,Stock Risk,91.54,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""stockout_events_90d"": 13, ""stockout_rate_90d"": 0.0667, ""avg_closing_stock_90d"": 0.933}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,29,2,65.0,MEDIUM,1886.17,27378.19,628.7233333333334,3.3488022453062407,0.0944383763771126,3.0,3.0,,,,,,,,,,,,,13.0,0.0667,0.933
16,OPP-001973,2890,Inactive Outlet,90.46,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""revenue_previous_30d"": 23596.58, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 51}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",38,2,82.0,HIGH,0.0,23596.58,0.0,0.0,0.0,2.0,1.0,,,,,23596.58,0.0,,,4.0,0.0,,51.0,,,
17,OPP-000159,256,Stock Risk,90.09,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,40,3,65.0,MEDIUM,4597.05,416.29,1532.35,6.402307312422235,0.2397005366219799,3.0,3.0,,,,,,,,,,,,,11.0,0.0564,0.944
18,OPP-000573,895,Stock Risk,90.09,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,41,4,65.0,MEDIUM,33471.92,33581.59,33471.92,54.8783964819506,1.6546968795897654,1.0,0.0,,,,,,,,,,,,,11.0,0.0564,0.944
19,OPP-001977,2899,Stock Risk,90.09,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,42,5,65.0,MEDIUM,26810.24,24152.35,5362.048000000001,45.3096483674899,1.307516813218433,5.0,3.0,,,,,,,,,,,,,11.0,0.0564,0.944
20,OPP-001263,1900,Inactive Outlet,89.5,P1,Immediate,Selected by highest original priority score within diversity constraints.,"{""revenue_previous_30d"": 23017.92, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 50}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",44,3,80.0,HIGH,0.0,23017.92,0.0,0.0,0.0,5.0,5.0,,,,,23017.92,0.0,,,4.0,0.0,,50.0,,,
