global_rank,type_rank,opportunity_id,outlet_id,opportunity_type,priority_score,priority_band,action_urgency,score,priority,evidence,recommended_action,revenue_30d,revenue_previous_30d,revenue_per_visit_30d,target_achievement_pct,revenue_index_vs_peer,visits_30d,productive_visits_30d,ev_target_category,ev_territory_category_rank,ev_territory_category_orders_90d,ev_current_category_count_90d,ev_revenue_previous_30d,ev_revenue_30d,ev_revenue_growth_30d,ev_revenue_gap_vs_previous_30d,ev_orders_previous_30d,ev_orders_30d,ev_revenue_index_vs_peer,ev_days_since_last_order,ev_stockout_events_90d,ev_stockout_rate_90d,ev_avg_closing_stock_90d
16,12,OPP-000035,58,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",153.0,0.0,153.0,0.904197070046906,0.1257365449569784,1.0,0.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
17,13,OPP-000331,532,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",333.54,0.0,333.54,0.7765116064668792,0.0727145885905199,1.0,0.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
18,14,OPP-000554,873,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,285.55,0.0,0.0,0.0,2.0,0.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
19,15,OPP-000574,898,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",1263.49,0.0,1263.49,6.090714034012822,1.0383455371744617,1.0,0.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
20,16,OPP-000623,972,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,5.0,3.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
21,17,OPP-000693,1079,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",313.27,0.0,313.27,1.598278000476519,0.2574476303181217,1.0,0.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
22,18,OPP-001832,2687,Cross-Sell,93.86,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",303.11,0.0,101.03666666666668,1.8687330765322985,0.2490980662869916,3.0,2.0,Snacks,1.0,1879.0,1.0,,,,,,,,,,,
23,5,OPP-001115,1704,Revenue Recovery,93.5,P1,Immediate,91.58,HIGH,"{""revenue_previous_30d"": 45336.37, ""revenue_30d"": 2734.97, ""revenue_growth_30d"": -0.9397, ""revenue_gap_vs_previous_30d"": 42601.4, ""orders_previous_30d"": 7, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.137}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2734.97,45336.37,1367.485,3.80462831503614,0.1369368223649573,2.0,1.0,,,,,45336.37,2734.97,-0.9397,42601.4,7.0,1.0,0.137,,,,
24,6,OPP-000341,547,Revenue Recovery,93.47,P1,Immediate,91.94,HIGH,"{""revenue_previous_30d"": 41641.45, ""revenue_30d"": 2258.6, ""revenue_growth_30d"": -0.9458, ""revenue_gap_vs_previous_30d"": 39382.85, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.118}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2258.6,41641.45,0.0,3.767946165715226,0.1177684889253768,0.0,0.0,,,,,41641.45,2258.6,-0.9458,39382.85,6.0,1.0,0.118,,,,
25,7,OPP-000004,6,Revenue Recovery,93.41,P1,Immediate,91.89,HIGH,"{""revenue_previous_30d"": 40232.18, ""revenue_30d"": 2260.19, ""revenue_growth_30d"": -0.9438, ""revenue_gap_vs_previous_30d"": 37971.99, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.112}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2260.19,40232.18,753.3966666666666,13.825366360407427,0.1117333376836462,3.0,2.0,,,,,40232.18,2260.19,-0.9438,37971.99,6.0,1.0,0.112,,,,
26,1,OPP-001421,2129,Stock Risk,92.22,P1,Immediate,76.67,MEDIUM,"{""stockout_events_90d"": 46, ""stockout_rate_90d"": 0.2359, ""avg_closing_stock_90d"": 0.933}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,12919.27,16904.57,3229.8175,18.19212960061936,0.6015486095735911,4.0,4.0,,,,,,,,,,,,,46.0,0.2359,0.933
27,1,OPP-000347,553,Inactive Outlet,91.92,P1,Immediate,84.0,HIGH,"{""revenue_previous_30d"": 27905.91, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 52}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,27905.91,0.0,0.0,0.0,3.0,1.0,,,,,27905.91,0.0,,,4.0,0.0,,52.0,,,
28,8,OPP-001950,2850,Revenue Recovery,91.76,P1,Immediate,89.24,HIGH,"{""revenue_previous_30d"": 43654.93, ""revenue_30d"": 2711.81, ""revenue_growth_30d"": -0.9379, ""revenue_gap_vs_previous_30d"": 40943.12, ""orders_previous_30d"": 7, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.141}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2711.8125,43654.93,301.3125,8.863489935042363,0.1414000090206094,9.0,6.0,,,,,43654.93,2711.81,-0.9379,40943.12,7.0,2.0,0.141,,,,
29,2,OPP-000417,656,Stock Risk,91.54,P1,Immediate,65.0,MEDIUM,"{""stockout_events_90d"": 13, ""stockout_rate_90d"": 0.0667, ""avg_closing_stock_90d"": 0.933}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,1886.17,27378.19,628.7233333333334,3.3488022453062407,0.0944383763771126,3.0,3.0,,,,,,,,,,,,,13.0,0.0667,0.933
30,19,OPP-000405,636,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
31,20,OPP-000425,669,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",268.5,0.0,44.75,1.437450043926546,0.1991618143381671,6.0,4.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
32,21,OPP-000716,1111,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,3.0,1.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
33,22,OPP-001237,1862,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
34,23,OPP-002017,2944,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,76.62,0.0,0.0,0.0,2.0,0.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
35,24,OPP-002044,2978,Cross-Sell,91.46,P1,Immediate,98.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 1}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,1538.0,0.0,8.27233517049455,0.0,4.0,3.0,Snacks,1.0,1872.0,1.0,,,,,,,,,,,
36,9,OPP-000416,656,Revenue Recovery,90.9,P1,Immediate,90.76,HIGH,"{""revenue_previous_30d"": 27378.19, ""revenue_30d"": 1886.17, ""revenue_growth_30d"": -0.9311, ""revenue_gap_vs_previous_30d"": 25492.02, ""orders_previous_30d"": 5, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.094}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1886.17,27378.19,628.7233333333334,3.3488022453062407,0.0944383763771126,3.0,3.0,,,,,27378.19,1886.17,-0.9311,25492.02,5.0,1.0,0.094,,,,
37,10,OPP-000323,519,Revenue Recovery,90.56,P1,Immediate,87.93,HIGH,"{""revenue_previous_30d"": 37674.81, ""revenue_30d"": 2710.14, ""revenue_growth_30d"": -0.9281, ""revenue_gap_vs_previous_30d"": 34964.67, ""orders_previous_30d"": 6, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.136}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2710.143,37674.81,903.381,4.6783590701432,0.1356937628473558,3.0,3.0,,,,,37674.81,2710.14,-0.9281,34964.67,6.0,2.0,0.136,,,,
38,2,OPP-001973,2890,Inactive Outlet,90.46,P1,Immediate,82.0,HIGH,"{""revenue_previous_30d"": 23596.58, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 51}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,23596.58,0.0,0.0,0.0,2.0,1.0,,,,,23596.58,0.0,,,4.0,0.0,,51.0,,,
39,11,OPP-001537,2286,Revenue Recovery,90.24,P1,Immediate,88.06,HIGH,"{""revenue_previous_30d"": 34492.35, ""revenue_30d"": 2723.04, ""revenue_growth_30d"": -0.9211, ""revenue_gap_vs_previous_30d"": 31769.31, ""orders_previous_30d"": 7, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.142}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2723.0445,34492.35,2723.0445,3.92172647045777,0.1419856707879033,1.0,1.0,,,,,34492.35,2723.04,-0.9211,31769.31,7.0,2.0,0.142,,,,
40,3,OPP-000159,256,Stock Risk,90.09,P1,Immediate,65.0,MEDIUM,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,4597.05,416.29,1532.35,6.402307312422235,0.2397005366219799,3.0,3.0,,,,,,,,,,,,,11.0,0.0564,0.944
41,4,OPP-000573,895,Stock Risk,90.09,P1,Immediate,65.0,MEDIUM,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,33471.92,33581.59,33471.92,54.8783964819506,1.6546968795897654,1.0,0.0,,,,,,,,,,,,,11.0,0.0564,0.944
42,5,OPP-001977,2899,Stock Risk,90.09,P1,Immediate,65.0,MEDIUM,"{""stockout_events_90d"": 11, ""stockout_rate_90d"": 0.0564, ""avg_closing_stock_90d"": 0.944}",Review recent stockout frequency and replenish at-risk SKUs; coordinate with the distributor before the next sales visit.,26810.24,24152.35,5362.048000000001,45.3096483674899,1.307516813218433,5.0,3.0,,,,,,,,,,,,,11.0,0.0564,0.944
43,12,OPP-001904,2787,Revenue Recovery,90.03,P1,Immediate,86.43,HIGH,"{""revenue_previous_30d"": 48265.7, ""revenue_30d"": 4763.97, ""revenue_growth_30d"": -0.9013, ""revenue_gap_vs_previous_30d"": 43501.73, ""orders_previous_30d"": 9, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.222}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",4763.9745,48265.7,1587.9915,6.699605868683648,0.2218207558568746,3.0,1.0,,,,,48265.7,4763.97,-0.9013,43501.73,9.0,2.0,0.222,,,,
44,3,OPP-001263,1900,Inactive Outlet,89.5,P1,Immediate,80.0,HIGH,"{""revenue_previous_30d"": 23017.92, ""revenue_30d"": 0.0, ""orders_previous_30d"": 4, ""orders_30d"": 0, ""days_since_last_order"": 50}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,23017.92,0.0,0.0,0.0,5.0,5.0,,,,,23017.92,0.0,,,4.0,0.0,,50.0,,,
45,13,OPP-000358,575,Revenue Recovery,89.37,P1,Immediate,86.7,HIGH,"{""revenue_previous_30d"": 51461.97, ""revenue_30d"": 4608.18, ""revenue_growth_30d"": -0.9105, ""revenue_gap_vs_previous_30d"": 46853.79, ""orders_previous_30d"": 6, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.302}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",4608.18,51461.97,1152.045,25.43074795485325,0.3024478415991305,4.0,2.0,,,,,51461.97,4608.18,-0.9105,46853.79,6.0,1.0,0.302,,,,
46,14,OPP-001923,2813,Revenue Recovery,89.37,P1,Immediate,86.37,HIGH,"{""revenue_previous_30d"": 35954.42, ""revenue_30d"": 2843.08, ""revenue_growth_30d"": -0.9209, ""revenue_gap_vs_previous_30d"": 33111.34, ""orders_previous_30d"": 5, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.14}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2843.0820000000003,35954.42,1421.5410000000002,4.765740360633607,0.139732363475515,2.0,1.0,,,,,35954.42,2843.08,-0.9209,33111.34,5.0,2.0,0.14,,,,
47,25,OPP-000124,212,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,1311.9,0.0,0.0,0.0,0.0,0.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
48,26,OPP-000189,310,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",1943.75,0.0,647.9166666666666,10.448555478805895,1.5973882958178218,3.0,3.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
49,27,OPP-000292,465,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,153.74,0.0,0.0,0.0,3.0,1.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
50,28,OPP-000530,836,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
51,29,OPP-001033,1582,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
52,30,OPP-001152,1751,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",2258.19,0.0,1129.095,11.28526222783717,1.855797440891497,2.0,1.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
53,31,OPP-001710,2531,Cross-Sell,88.86,P1,Immediate,96.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 2}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,1175.31,0.0,0.0,0.0,6.0,3.0,Snacks,1.0,1879.0,2.0,,,,,,,,,,,
54,15,OPP-000247,405,Revenue Recovery,88.55,P1,Immediate,84.45,HIGH,"{""revenue_previous_30d"": 48080.09, ""revenue_30d"": 5229.27, ""revenue_growth_30d"": -0.8912, ""revenue_gap_vs_previous_30d"": 42850.82, ""orders_previous_30d"": 7, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.243}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",5229.2745,48080.09,1307.318625,16.38282916743777,0.2434861106357895,4.0,3.0,,,,,48080.09,5229.27,-0.8912,42850.82,7.0,2.0,0.243,,,,
55,4,OPP-001619,2397,Inactive Outlet,88.51,P1,Immediate,90.0,HIGH,"{""revenue_previous_30d"": 14795.42, ""revenue_30d"": 0.0, ""orders_previous_30d"": 3, ""orders_30d"": 0, ""days_since_last_order"": 55}","Prioritize a win-back visit, diagnose the reason for inactivity, and attempt a targeted reorder based on the outlet's prior mix.",0.0,14795.419999999998,0.0,0.0,0.0,1.0,1.0,,,,,14795.42,0.0,,,3.0,0.0,,55.0,,,
56,16,OPP-000698,1088,Revenue Recovery,88.48,P1,Immediate,84.44,HIGH,"{""revenue_previous_30d"": 46698.39, ""revenue_30d"": 5169.4, ""revenue_growth_30d"": -0.8893, ""revenue_gap_vs_previous_30d"": 41528.99, ""orders_previous_30d"": 7, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.235}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",5169.402,46698.39,1292.3505,6.951586483100244,0.2347730476612627,4.0,1.0,,,,,46698.39,5169.4,-0.8893,41528.99,7.0,2.0,0.235,,,,
